"","SiteID","Adenophora stenanthina","Adenophora stricta","Agropyron cristatum","Agropyron desertorum","Agropyron michnoi","Agrostis clavata","Allium anisopodium","Allium bidentatum","Allium mongolicum","Allium polyrhizum","Allium ramosum","Allium tenuissimum","Androsace longifolia","Anemarrhena asphodeloides","Anemone chinensis","Artemisia desertorum","Artemisia dracunculus","Artemisia frigida","Artemisia sieversiana","Artemisia tanacetifolia","Artemisia vulgaris","Asparagus cochinchinensis","Astragalus arbuscula","Astragalus propinquus","Bromus inermis","Bromus japonicus","Bupleurum longiradiatum","Calamagrostis epigejos","Calligonum mongolicum","Calystegia hederacea","Clematis florida","Convolvulus arvensis","Elymus dahuricus","Elymus kamoji","Ephedra sinica","Festuca ovina","Filifolium sibiricum","Gypsophila davurica","Hemerocallis citrina","Iris dichotoma","Iris lactea","Iris tectorum","Iris tenuifolia","Koeleria pyramidata","Krascheninnikovia ceratoides","Leymus chinensis","Leymus secalinus","Neopallasia pectinata","Polygonum divaricatum","Polygonum sibiricum","Pulsatilla turczaninovii","Saussurea japonica","Scorzonera austriaca","Silene aprica","Vicia amoena","Vicia sepium","Vicia unijuga"
"1","1",0,0,3.61444444444444,0,0,0,0,0,0,0,0,0,0,0,1.315,0,0,0,0,0,0,0,4.84,14.15,0,0.6,0,0,0,0,0,0,7.42,0,0,23.8922222222222,0,0,0,0,0,0,0,14.7714285714286,0,29.13,0,0,0,0,0,0,0,0,0,0,0
"2","2",0,0,6.841,0,0,0,0,0,0.03,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,6.202,0,0,0,0,0,0,0,0,0,0,0,1.565,0,0,13.125,0,0,0,0,3.65333333333333,0,0,0,0,0,0,0,3.15833333333333,0,0,0,0,0
"3","4",0,0,5.908,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0
"4","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","25",0,0,0,0,0,0,0,0,4.14666666666667,0,0.43,0,0,0,0,0,0,1.4,0,0,0,0,0,0.35,0,0,0,0,1.515,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,3.37,0,0,0,0,0,0,0,0,0,0,0,0
"8","26",0,0,0,0,0,0,0,0,0.303333333333333,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
"9","27",0,0,0,0,0,0,0,0,0.126666666666667,0,0.23,0,0,0,0,0,0,0,0.285,0,0,0,0,0.4,0,0,0,0,10.8079111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0
"10","28",0,0,0,0,0,0,0,0,0.08,0.07,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0.04,0,0,0,0,15.7555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525,0,0,0,0,0,0,0,0,0,0,0,0
"11","29",0,0,0,0,0,0,0,0,10.63,10.76,13.655,0.23,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0
