"","SiteID","PlotID","Biomass","new.names","GS_1C_mean","G_group"
"1",59,5907,4.56,"Stipa sibirica",0.995,"Small"
"2",51,5101,64.95,"Stipa sibirica",0.995,"Small"
"3",51,5104,10.56,"Stipa sibirica",0.995,"Small"
"4",48,4804,2.72,"Stipa sibirica",0.995,"Small"
"5",52,5206,3.55,"Stipa sibirica",0.995,"Small"
"6",48,4803,31.65,"Stipa sibirica",0.995,"Small"
"7",61,6105,0.15,"Stipa sibirica",0.995,"Small"
"8",57,5705,8.41,"Stipa sibirica",0.995,"Small"
"9",50,5005,2.17,"Stipa sibirica",0.995,"Small"
"10",60,6005,3.83,"Stipa sibirica",0.995,"Small"
"11",52,5205,4.63,"Stipa sibirica",0.995,"Small"
"12",48,4807,13.9,"Stipa sibirica",0.995,"Small"
"13",48,4808,23.89,"Stipa sibirica",0.995,"Small"
"14",52,5210,0.79,"Stipa sibirica",0.995,"Small"
"15",48,4806,35.73,"Stipa sibirica",0.995,"Small"
"16",52,5203,3.76,"Stipa sibirica",0.995,"Small"
"17",52,5202,0.92,"Stipa sibirica",0.995,"Small"
"18",51,5108,18.53,"Stipa sibirica",0.995,"Small"
"19",59,5910,4.18,"Stipa sibirica",0.995,"Small"
"20",53,5310,1.01,"Stipa sibirica",0.995,"Small"
"21",59,5908,10.7,"Stipa sibirica",0.995,"Small"
"22",49,4905,13.17,"Stipa sibirica",0.995,"Small"
"23",59,5904,1.38,"Stipa sibirica",0.995,"Small"
"24",61,6110,6.8,"Stipa sibirica",0.995,"Small"
"25",52,5209,1.08,"Stipa sibirica",0.995,"Small"
"26",49,4902,6.52,"Stipa sibirica",0.995,"Small"
"27",60,6008,1.05,"Stipa sibirica",0.995,"Small"
"28",62,6210,5.81,"Stipa sibirica",0.995,"Small"
"29",52,5204,2.96,"Stipa sibirica",0.995,"Small"
"30",59,5905,1.75,"Stipa sibirica",0.995,"Small"
"31",50,5001,2.52,"Stipa sibirica",0.995,"Small"
"32",51,5105,2.14,"Stipa sibirica",0.995,"Small"
"33",49,4906,3.85,"Stipa sibirica",0.995,"Small"
"34",52,5208,3.51,"Stipa sibirica",0.995,"Small"
"35",51,5110,4.55,"Stipa sibirica",0.995,"Small"
"36",50,5004,2.91,"Stipa sibirica",0.995,"Small"
"37",60,6007,4.6,"Stipa sibirica",0.995,"Small"
"38",51,5107,8.89,"Stipa sibirica",0.995,"Small"
"39",49,4901,22.84,"Stipa sibirica",0.995,"Small"
